,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
1,Quantum Leap,2,5CLb7y1Zi65les6f3Vzgac,Flash,spotify:track:5CLb7y1Zi65les6f3Vzgac,0.0305,0.672,0.908,0,0.343,-2.903,0.0597,132.05,0.574,46
2,Quantum Leap,3,0RSrBtqAmascHyvtyy08r3,Like Always,spotify:track:0RSrBtqAmascHyvtyy08r3,0.0292,0.783,0.878,0,0.047,-3.74,0.0538,119.962,0.809,40
3,Quantum Leap,4,4AzxwJwpvaLDI4ztWMbDbO,I'm Here for You,spotify:track:4AzxwJwpvaLDI4ztWMbDbO,0.574,0.444,0.473,0,0.207,-6.882,0.0335,131.503,0.277,39
4,Quantum Leap,5,0jrX4xT35xijxa45Qv4Axe,U Got It - X1 Ver.,spotify:track:0jrX4xT35xijxa45Qv4Axe,0.131,0.626,0.843,0,0.314,-3.348,0.101,90.307,0.562,39
5,Quantum Leap,6,5YweJOGkA8bJtJRqVT2rwd,Move - X1 Ver.,spotify:track:5YweJOGkA8bJtJRqVT2rwd,0.0964,0.715,0.803,0,0.721,-3.484,0.106,106.976,0.794,39
6,QUANTUM LEAP,1,78zidUN8YXrqC2P3BRNO8v,Stand Up (Intro.),spotify:track:78zidUN8YXrqC2P3BRNO8v,0.0382,0.674,0.906,0,0.0522,-5.296,0.114,100.051,0.623,58
7,QUANTUM LEAP,2,1q3C6brbmRrULTyo2mseKF,FLASH,spotify:track:1q3C6brbmRrULTyo2mseKF,0.029,0.674,0.91,0,0.342,-2.898,0.0594,132.04,0.599,71
8,QUANTUM LEAP,3,1Jr8RbuOnvMHsMHcWgZ9Do,Like always,spotify:track:1Jr8RbuOnvMHsMHcWgZ9Do,0.0309,0.781,0.879,0,0.0546,-3.725,0.0533,119.997,0.836,61
9,QUANTUM LEAP,4,3Ell49mmc3B5KnKSvmeQB3,I'm here for you,spotify:track:3Ell49mmc3B5KnKSvmeQB3,0.587,0.374,0.479,0,0.195,-6.904,0.0374,131.504,0.261,61
10,QUANTUM LEAP,5,4HmPiO9GElc8ultwqFbUbH,U GOT IT - X1 Version,spotify:track:4HmPiO9GElc8ultwqFbUbH,0.126,0.495,0.849,0,0.295,-3.343,0.176,179.826,0.537,61
11,QUANTUM LEAP,6,2Hy7yP6pcZOzLNO4aUB4uz,MOVE - X1 Version,spotify:track:2Hy7yP6pcZOzLNO4aUB4uz,0.093,0.707,0.8,0,0.74,-3.486,0.145,106.966,0.766,61
